"gene","module"
"NDRG1","yellow"
"KANK1","yellow"
"ABHD17B","yellow"
"PRUNE2","yellow"
"SEMA4D","yellow"
"SLC35D2","yellow"
"SLC44A1","yellow"
"SVEP1","yellow"
"LPAR1","yellow"
"SLC31A2","yellow"
"GSN","yellow"
"CERCAM","yellow"
"FNBP1","yellow"
"PTGDS","yellow"
"ABCA2","yellow"
"SYT9","yellow"
"PPFIBP2","yellow"
"LDLRAD3","yellow"
"PRR5L","yellow"
"CD82","yellow"
"LRP4","yellow"
"FOLH1","yellow"
"MYRF","yellow"
"CARNS1","yellow"
"PLEKHB1","yellow"
"CRYAB","yellow"
"PHLDB1","yellow"
"HEPACAM","yellow"
"PRKCQ","yellow"
"FAM107B","yellow"
"PIP4K2A","yellow"
"ARHGAP21","yellow"
"RHOBTB1","yellow"
"TSPAN15","yellow"
"ADAMTS14","yellow"
"UNC5B","yellow"
"USP54","yellow"
"ZCCHC24","yellow"
"OPALIN","yellow"
"SCD","yellow"
"SHTN1","yellow"
"FGFR2","yellow"
"C10orf90","yellow"
"DOCK1","yellow"
"NKX6-2","yellow"
"NINJ2","yellow"
"ADIPOR2","yellow"
"CD9","yellow"
"SLCO1A2","yellow"
"SLC48A1","yellow"
"ERBB3","yellow"
"CPM","yellow"
"KCNMB4","yellow"
"TMTC2","yellow"
"TMCC3","yellow"
"GLTP","yellow"
"P2RX7","yellow"
"HIP1R","yellow"
"AMER2","yellow"
"RGCC","yellow"
"LRRC63","yellow"
"FAM124A","yellow"
"SLAIN1","yellow"
"TMTC4","yellow"
"RNASE1","yellow"
"NDRG2","yellow"
"MAP4K5","yellow"
"HSPA2","yellow"
"PLEKHG3","yellow"
"FUT8","yellow"
"PLEKHH1","yellow"
"RAD51B","yellow"
"PSEN1","yellow"
"CLMN","yellow"
"GREM1","yellow"
"CAPN3","yellow"
"GLDN","yellow"
"TCF12","yellow"
"MYO1E","yellow"
"DAPK2","yellow"
"NEO1","yellow"
"PDE8A","yellow"
